,Person_ID,Person_name,Person_age,Person_gender,Person_ducation_level_ID,Assoc_stimulus,Term1,Term2,mahalanobis,Person_term_ID,Person_term_name,Person_term_age,Person_term_gender,Person_term_ducation_level_ID
73,3,post-doc,34,male,3,center,center,program,600.3086199936438,1,graduate,25,male,2
74,3,post-doc,34,male,3,center,center,program,663.4729792262276,2,parent,40,female,2
75,3,post-doc,34,male,3,center,center,program,560.5659823467037,3,post-doc,34,male,3
76,0,enrollee,18,female,1,university,university,center,604.2928579585468,0,enrollee,18,female,1
77,0,enrollee,18,female,1,university,university,center,674.4339748735271,1,graduate,25,male,2
78,0,enrollee,18,female,1,university,university,center,524.9692899540905,2,parent,40,female,2
79,0,enrollee,18,female,1,university,university,center,490.5327362477824,3,post-doc,34,male,3
80,0,enrollee,18,female,1,university,university,university,316.082932526529,1,graduate,25,male,2
81,0,enrollee,18,female,1,university,university,university,674.1201858831395,2,parent,40,female,2
82,0,enrollee,18,female,1,university,university,university,481.48544207023923,3,post-doc,34,male,3
83,0,enrollee,18,female,1,university,university,scientific/science,569.1075237984751,0,enrollee,18,female,1
84,0,enrollee,18,female,1,university,university,scientific/science,980.9856523548028,1,graduate,25,male,2
85,0,enrollee,18,female,1,university,university,scientific/science,482.29765790717846,2,parent,40,female,2
86,0,enrollee,18,female,1,university,university,scientific/science,521.5780059505632,3,post-doc,34,male,3
87,0,enrollee,18,female,1,university,university,educational/education,633.0778437208512,0,enrollee,18,female,1
88,0,enrollee,18,female,1,university,university,educational/education,536.7144007512136,1,graduate,25,male,2
89,0,enrollee,18,female,1,university,university,educational/education,545.9887923036409,2,parent,40,female,2
90,0,enrollee,18,female,1,university,university,educational/education,596.3192594132523,3,post-doc,34,male,3
91,0,enrollee,18,female,1,university,university,program,657.086276281509,0,enrollee,18,female,1
92,0,enrollee,18,female,1,university,university,program,574.1250582115417,1,graduate,25,male,2
93,0,enrollee,18,female,1,university,university,program,631.6133816866153,2,parent,40,female,2
94,0,enrollee,18,female,1,university,university,program,595.7877665878251,3,post-doc,34,male,3
95,1,graduate,25,male,2,university,university,center,656.7908641479503,0,enrollee,18,female,1
96,1,graduate,25,male,2,university,university,center,705.1814173854268,1,graduate,25,male,2
97,1,graduate,25,male,2,university,university,center,558.5294148469304,2,parent,40,female,2
98,1,graduate,25,male,2,university,university,center,545.3157419494845,3,post-doc,34,male,3
99,1,graduate,25,male,2,university,university,university,316.082932526529,0,enrollee,18,female,1
100,1,graduate,25,male,2,university,university,university,625.5493094067207,2,parent,40,female,2
101,1,graduate,25,male,2,university,university,university,585.1459339239533,3,post-doc,34,male,3
102,1,graduate,25,male,2,university,university,scientific/science,589.051252471773,0,enrollee,18,female,1
103,1,graduate,25,male,2,university,university,scientific/science,1016.360526106903,1,graduate,25,male,2
104,1,graduate,25,male,2,university,university,scientific/science,495.7323297231211,2,parent,40,female,2
105,1,graduate,25,male,2,university,university,scientific/science,650.0915406491825,3,post-doc,34,male,3
106,1,graduate,25,male,2,university,university,educational/education,740.5378014277006,0,enrollee,18,female,1
107,1,graduate,25,male,2,university,university,educational/education,681.7492281237561,1,graduate,25,male,2
108,1,graduate,25,male,2,university,university,educational/education,660.1735166839442,2,parent,40,female,2
109,1,graduate,25,male,2,university,university,educational/education,660.0901585655179,3,post-doc,34,male,3
110,1,graduate,25,male,2,university,university,program,690.0740391023807,0,enrollee,18,female,1
111,1,graduate,25,male,2,university,university,program,627.7503921197205,1,graduate,25,male,2
112,1,graduate,25,male,2,university,university,program,711.9326464382349,2,parent,40,female,2
113,1,graduate,25,male,2,university,university,program,697.019169184229,3,post-doc,34,male,3
114,2,parent,40,female,2,university,university,center,667.5879281349361,0,enrollee,18,female,1
115,2,parent,40,female,2,university,university,center,695.8460560186014,1,graduate,25,male,2
116,2,parent,40,female,2,university,university,center,718.8596014781654,2,parent,40,female,2
117,2,parent,40,female,2,university,university,center,739.8010545242696,3,post-doc,34,male,3
118,2,parent,40,female,2,university,university,university,674.1201858831395,0,enrollee,18,female,1
119,2,parent,40,female,2,university,university,university,625.5493094067207,1,graduate,25,male,2
120,2,parent,40,female,2,university,university,university,522.5844072475338,3,post-doc,34,male,3
121,2,parent,40,female,2,university,university,scientific/science,604.1156616044402,0,enrollee,18,female,1
122,2,parent,40,female,2,university,university,scientific/science,1025.3532972356988,1,graduate,25,male,2
123,2,parent,40,female,2,university,university,scientific/science,647.19900950154,2,parent,40,female,2
124,2,parent,40,female,2,university,university,scientific/science,685.146839314379,3,post-doc,34,male,3
125,2,parent,40,female,2,university,university,educational/education,645.8714775235939,0,enrollee,18,female,1
126,2,parent,40,female,2,university,university,educational/education,803.943677210338,1,graduate,25,male,2
127,2,parent,40,female,2,university,university,educational/education,770.7865184061548,2,parent,40,female,2
128,2,parent,40,female,2,university,university,educational/education,794.9100286091481,3,post-doc,34,male,3
129,2,parent,40,female,2,university,university,program,785.8894580064374,0,enrollee,18,female,1
130,2,parent,40,female,2,university,university,program,828.1300326144003,1,graduate,25,male,2
131,2,parent,40,female,2,university,university,program,840.2278333888166,2,parent,40,female,2
132,2,parent,40,female,2,university,university,program,881.7102621980432,3,post-doc,34,male,3
133,3,post-doc,34,male,3,university,university,center,544.9459057682476,0,enrollee,18,female,1
134,3,post-doc,34,male,3,university,university,center,638.6748537249532,1,graduate,25,male,2
135,3,post-doc,34,male,3,university,university,center,579.1858355760494,2,parent,40,female,2
136,3,post-doc,34,male,3,university,university,center,561.230376416863,3,post-doc,34,male,3
137,3,post-doc,34,male,3,university,university,university,481.48544207023923,0,enrollee,18,female,1
138,3,post-doc,34,male,3,university,university,university,585.1459339239533,1,graduate,25,male,2
139,3,post-doc,34,male,3,university,university,university,522.5844072475338,2,parent,40,female,2
140,3,post-doc,34,male,3,university,university,scientific/science,537.6234040156797,0,enrollee,18,female,1
141,3,post-doc,34,male,3,university,university,scientific/science,975.7886191518535,1,graduate,25,male,2
142,3,post-doc,34,male,3,university,university,scientific/science,517.2069042168316,2,parent,40,female,2
143,3,post-doc,34,male,3,university,university,scientific/science,499.1740756508215,3,post-doc,34,male,3
144,3,post-doc,34,male,3,university,university,educational/education,562.5346710157502,0,enrollee,18,female,1
145,3,post-doc,34,male,3,university,university,educational/education,606.8631329264391,1,graduate,25,male,2
146,3,post-doc,34,male,3,university,university,educational/education,534.1183003744446,2,parent,40,female,2
147,3,post-doc,34,male,3,university,university,educational/education,653.4913156558587,3,post-doc,34,male,3
148,3,post-doc,34,male,3,university,university,program,727.169370602251,0,enrollee,18,female,1
149,3,post-doc,34,male,3,university,university,program,708.2226226335656,1,graduate,25,male,2
150,3,post-doc,34,male,3,university,university,program,705.9929616794916,2,parent,40,female,2
151,3,post-doc,34,male,3,university,university,program,688.4855686176971,3,post-doc,34,male,3
152,0,enrollee,18,female,1,scientific/science,scientific/science,center,398.4745632865097,0,enrollee,18,female,1
153,0,enrollee,18,female,1,scientific/science,scientific/science,center,408.7484369930869,1,graduate,25,male,2
154,0,enrollee,18,female,1,scientific/science,scientific/science,center,425.8944695345096,2,parent,40,female,2
155,0,enrollee,18,female,1,scientific/science,scientific/science,center,509.4025351258188,3,post-doc,34,male,3
156,0,enrollee,18,female,1,scientific/science,scientific/science,university,569.1075237984751,0,enrollee,18,female,1
157,0,enrollee,18,female,1,scientific/science,scientific/science,university,589.051252471773,1,graduate,25,male,2
158,0,enrollee,18,female,1,scientific/science,scientific/science,university,604.1156616044402,2,parent,40,female,2
159,0,enrollee,18,female,1,scientific/science,scientific/science,university,537.6234040156797,3,post-doc,34,male,3
160,0,enrollee,18,female,1,scientific/science,scientific/science,scientific/science,1002.9958700523972,1,graduate,25,male,2
161,0,enrollee,18,female,1,scientific/science,scientific/science,scientific/science,437.15996743890344,2,parent,40,female,2
162,0,enrollee,18,female,1,scientific/science,scientific/science,scientific/science,497.39709691466066,3,post-doc,34,male,3
163,0,enrollee,18,female,1,scientific/science,scientific/science,educational/education,609.6346913503452,0,enrollee,18,female,1
164,0,enrollee,18,female,1,scientific/science,scientific/science,educational/education,592.957942347224,1,graduate,25,male,2
165,0,enrollee,18,female,1,scientific/science,scientific/science,educational/education,565.8879603118037,2,parent,40,female,2
166,0,enrollee,18,female,1,scientific/science,scientific/science,educational/education,700.1306107561471,3,post-doc,34,male,3
167,0,enrollee,18,female,1,scientific/science,scientific/science,program,736.8339501998594,0,enrollee,18,female,1
