,Person_ID,Person_name,Person_age,Person_gender,Person_ducation_level_ID,Assoc_stimulus,Term1,Term2,cos,Person_term_ID,Person_term_name,Person_term_age,Person_term_gender,Person_term_ducation_level_ID
68,3,аспирант,34,male,3,центр,центр,образовательный/образование,0.7995995,0,абитуриентка,18,female,1
69,3,аспирант,34,male,3,центр,центр,образовательный/образование,0.79838765,1,магистрант,25,male,2
70,3,аспирант,34,male,3,центр,центр,образовательный/образование,0.8315922,2,родитель,40,female,2
71,3,аспирант,34,male,3,центр,центр,образовательный/образование,0.8174772,3,аспирант,34,male,3
72,3,аспирант,34,male,3,центр,центр,программа,0.75367945,0,абитуриентка,18,female,1
73,3,аспирант,34,male,3,центр,центр,программа,0.81273186,1,магистрант,25,male,2
74,3,аспирант,34,male,3,центр,центр,программа,0.7646928,2,родитель,40,female,2
75,3,аспирант,34,male,3,центр,центр,программа,0.8346399,3,аспирант,34,male,3
76,0,абитуриентка,18,female,1,университет,университет,центр,0.8119113,0,абитуриентка,18,female,1
77,0,абитуриентка,18,female,1,университет,университет,центр,0.7630521,1,магистрант,25,male,2
78,0,абитуриентка,18,female,1,университет,университет,центр,0.85818154,2,родитель,40,female,2
79,0,абитуриентка,18,female,1,университет,университет,центр,0.8771821,3,аспирант,34,male,3
80,0,абитуриентка,18,female,1,университет,университет,университет,0.9473486,1,магистрант,25,male,2
81,0,абитуриентка,18,female,1,университет,университет,университет,0.7612796,2,родитель,40,female,2
82,0,абитуриентка,18,female,1,университет,университет,университет,0.87955844,3,аспирант,34,male,3
83,0,абитуриентка,18,female,1,университет,университет,наука/научный,0.8243522,0,абитуриентка,18,female,1
84,0,абитуриентка,18,female,1,университет,университет,наука/научный,0.42868444,1,магистрант,25,male,2
85,0,абитуриентка,18,female,1,университет,университет,наука/научный,0.8782712,2,родитель,40,female,2
86,0,абитуриентка,18,female,1,университет,университет,наука/научный,0.8548436,3,аспирант,34,male,3
87,0,абитуриентка,18,female,1,университет,университет,образовательный/образование,0.7891177,0,абитуриентка,18,female,1
88,0,абитуриентка,18,female,1,университет,университет,образовательный/образование,0.84835577,1,магистрант,25,male,2
89,0,абитуриентка,18,female,1,университет,университет,образовательный/образование,0.8444915,2,родитель,40,female,2
90,0,абитуриентка,18,female,1,университет,университет,образовательный/образование,0.81186974,3,аспирант,34,male,3
91,0,абитуриентка,18,female,1,университет,университет,программа,0.771731,0,абитуриентка,18,female,1
92,0,абитуриентка,18,female,1,университет,университет,программа,0.8258277,1,магистрант,25,male,2
93,0,абитуриентка,18,female,1,университет,университет,программа,0.7815264,2,родитель,40,female,2
94,0,абитуриентка,18,female,1,университет,университет,программа,0.8096436,3,аспирант,34,male,3
95,1,магистрант,25,male,2,университет,университет,центр,0.77843904,0,абитуриентка,18,female,1
96,1,магистрант,25,male,2,университет,университет,центр,0.74370426,1,магистрант,25,male,2
97,1,магистрант,25,male,2,университет,университет,центр,0.83843637,2,родитель,40,female,2
98,1,магистрант,25,male,2,университет,университет,центр,0.8454175,3,аспирант,34,male,3
