,Person_ID,Person_name,Person_age,Person_gender,Person_ducation_level_ID,Assoc_stimulus,Term1,Term2,cos,Person_term_ID,Person_term_name,Person_term_age,Person_term_gender,Person_term_ducation_level_ID
77,0,enrollee,18,female,1,university,university,center,0.40186608,1,graduate,25,male,2
78,0,enrollee,18,female,1,university,university,center,0.2317617,2,parent,40,female,2
79,0,enrollee,18,female,1,university,university,center,0.3144905,3,post-doc,34,male,3
80,0,enrollee,18,female,1,university,university,university,0.7711057,1,graduate,25,male,2
81,0,enrollee,18,female,1,university,university,university,0.83510685,2,parent,40,female,2
82,0,enrollee,18,female,1,university,university,university,0.8442755,3,post-doc,34,male,3
83,0,enrollee,18,female,1,university,university,scientific/science,0.33274737,0,enrollee,18,female,1
84,0,enrollee,18,female,1,university,university,scientific/science,0.34866682,1,graduate,25,male,2
85,0,enrollee,18,female,1,university,university,scientific/science,0.30007312,2,parent,40,female,2
86,0,enrollee,18,female,1,university,university,scientific/science,0.22307308,3,post-doc,34,male,3
87,0,enrollee,18,female,1,university,university,educational/education,0.3248613,0,enrollee,18,female,1
88,0,enrollee,18,female,1,university,university,educational/education,0.21458395,1,graduate,25,male,2
89,0,enrollee,18,female,1,university,university,educational/education,0.1207714,2,parent,40,female,2
90,0,enrollee,18,female,1,university,university,educational/education,0.3107873,3,post-doc,34,male,3
91,0,enrollee,18,female,1,university,university,program,0.20392725,0,enrollee,18,female,1
92,0,enrollee,18,female,1,university,university,program,0.17639479,1,graduate,25,male,2
93,0,enrollee,18,female,1,university,university,program,0.28472647,2,parent,40,female,2
94,0,enrollee,18,female,1,university,university,program,0.23551527,3,post-doc,34,male,3
95,1,graduate,25,male,2,university,university,center,0.29146203,0,enrollee,18,female,1
96,1,graduate,25,male,2,university,university,center,0.27817887,1,graduate,25,male,2
97,1,graduate,25,male,2,university,university,center,0.22825678,2,parent,40,female,2
98,1,graduate,25,male,2,university,university,center,0.3296054,3,post-doc,34,male,3
99,1,graduate,25,male,2,university,university,university,0.7711057,0,enrollee,18,female,1
100,1,graduate,25,male,2,university,university,university,0.82411456,2,parent,40,female,2
101,1,graduate,25,male,2,university,university,university,0.8254741,3,post-doc,34,male,3
102,1,graduate,25,male,2,university,university,scientific/science,0.17676137,0,enrollee,18,female,1
103,1,graduate,25,male,2,university,university,scientific/science,0.27590188,1,graduate,25,male,2
104,1,graduate,25,male,2,university,university,scientific/science,0.19141504,2,parent,40,female,2
105,1,graduate,25,male,2,university,university,scientific/science,0.1378088,3,post-doc,34,male,3
106,1,graduate,25,male,2,university,university,educational/education,0.37081122,0,enrollee,18,female,1
107,1,graduate,25,male,2,university,university,educational/education,0.1998219,1,graduate,25,male,2
108,1,graduate,25,male,2,university,university,educational/education,0.16888487,2,parent,40,female,2
109,1,graduate,25,male,2,university,university,educational/education,0.37761608,3,post-doc,34,male,3
110,1,graduate,25,male,2,university,university,program,0.116865255,0,enrollee,18,female,1
111,1,graduate,25,male,2,university,university,program,0.0589903,1,graduate,25,male,2
112,1,graduate,25,male,2,university,university,program,0.17183381,2,parent,40,female,2
113,1,graduate,25,male,2,university,university,program,0.11690295,3,post-doc,34,male,3
114,2,parent,40,female,2,university,university,center,0.2729845,0,enrollee,18,female,1
115,2,parent,40,female,2,university,university,center,0.26700297,1,graduate,25,male,2
116,2,parent,40,female,2,university,university,center,0.17322135,2,parent,40,female,2
117,2,parent,40,female,2,university,university,center,0.24523437,3,post-doc,34,male,3
118,2,parent,40,female,2,university,university,university,0.83510685,0,enrollee,18,female,1
119,2,parent,40,female,2,university,university,university,0.82411456,1,graduate,25,male,2
120,2,parent,40,female,2,university,university,university,0.86223,3,post-doc,34,male,3
121,2,parent,40,female,2,university,university,scientific/science,0.15064506,0,enrollee,18,female,1
122,2,parent,40,female,2,university,university,scientific/science,0.24758582,1,graduate,25,male,2
123,2,parent,40,female,2,university,university,scientific/science,0.16716626,2,parent,40,female,2
124,2,parent,40,female,2,university,university,scientific/science,0.14474447,3,post-doc,34,male,3
125,2,parent,40,female,2,university,university,educational/education,0.3079229,0,enrollee,18,female,1
126,2,parent,40,female,2,university,university,educational/education,0.19594029,1,graduate,25,male,2
127,2,parent,40,female,2,university,university,educational/education,0.16079026,2,parent,40,female,2
128,2,parent,40,female,2,university,university,educational/education,0.31694204,3,post-doc,34,male,3
129,2,parent,40,female,2,university,university,program,0.17751786,0,enrollee,18,female,1
130,2,parent,40,female,2,university,university,program,0.13441221,1,graduate,25,male,2
131,2,parent,40,female,2,university,university,program,0.28211173,2,parent,40,female,2
132,2,parent,40,female,2,university,university,program,0.24248026,3,post-doc,34,male,3
133,3,post-doc,34,male,3,university,university,center,0.30307516,0,enrollee,18,female,1
134,3,post-doc,34,male,3,university,university,center,0.27753577,1,graduate,25,male,2
135,3,post-doc,34,male,3,university,university,center,0.15442976,2,parent,40,female,2
136,3,post-doc,34,male,3,university,university,center,0.24002266,3,post-doc,34,male,3
137,3,post-doc,34,male,3,university,university,university,0.8442755,0,enrollee,18,female,1
138,3,post-doc,34,male,3,university,university,university,0.8254741,1,graduate,25,male,2
139,3,post-doc,34,male,3,university,university,university,0.86223,2,parent,40,female,2
140,3,post-doc,34,male,3,university,university,scientific/science,0.19670454,0,enrollee,18,female,1
141,3,post-doc,34,male,3,university,university,scientific/science,0.26593685,1,graduate,25,male,2
142,3,post-doc,34,male,3,university,university,scientific/science,0.19137086,2,parent,40,female,2
143,3,post-doc,34,male,3,university,university,scientific/science,0.17865318,3,post-doc,34,male,3
144,3,post-doc,34,male,3,university,university,educational/education,0.34164646,0,enrollee,18,female,1
145,3,post-doc,34,male,3,university,university,educational/education,0.2596133,1,graduate,25,male,2
146,3,post-doc,34,male,3,university,university,educational/education,0.185438,2,parent,40,female,2
147,3,post-doc,34,male,3,university,university,educational/education,0.41190916,3,post-doc,34,male,3
148,3,post-doc,34,male,3,university,university,program,0.165,0,enrollee,18,female,1
149,3,post-doc,34,male,3,university,university,program,0.10452224,1,graduate,25,male,2
150,3,post-doc,34,male,3,university,university,program,0.26414755,2,parent,40,female,2
151,3,post-doc,34,male,3,university,university,program,0.19038591,3,post-doc,34,male,3
152,0,enrollee,18,female,1,scientific/science,scientific/science,center,0.41095835,0,enrollee,18,female,1
153,0,enrollee,18,female,1,scientific/science,scientific/science,center,0.4964974,1,graduate,25,male,2
154,0,enrollee,18,female,1,scientific/science,scientific/science,center,0.14545208,2,parent,40,female,2
155,0,enrollee,18,female,1,scientific/science,scientific/science,center,0.16062008,3,post-doc,34,male,3
156,0,enrollee,18,female,1,scientific/science,scientific/science,university,0.33274737,0,enrollee,18,female,1
157,0,enrollee,18,female,1,scientific/science,scientific/science,university,0.17676137,1,graduate,25,male,2
158,0,enrollee,18,female,1,scientific/science,scientific/science,university,0.15064506,2,parent,40,female,2
159,0,enrollee,18,female,1,scientific/science,scientific/science,university,0.19670454,3,post-doc,34,male,3
160,0,enrollee,18,female,1,scientific/science,scientific/science,scientific/science,0.558513,1,graduate,25,male,2
161,0,enrollee,18,female,1,scientific/science,scientific/science,scientific/science,0.77614653,2,parent,40,female,2
162,0,enrollee,18,female,1,scientific/science,scientific/science,scientific/science,0.778409,3,post-doc,34,male,3
163,0,enrollee,18,female,1,scientific/science,scientific/science,educational/education,0.14605117,0,enrollee,18,female,1
164,0,enrollee,18,female,1,scientific/science,scientific/science,educational/education,0.13087024,1,graduate,25,male,2
165,0,enrollee,18,female,1,scientific/science,scientific/science,educational/education,0.15400912,2,parent,40,female,2
166,0,enrollee,18,female,1,scientific/science,scientific/science,educational/education,0.2531694,3,post-doc,34,male,3
167,0,enrollee,18,female,1,scientific/science,scientific/science,program,0.19509766,0,enrollee,18,female,1
168,0,enrollee,18,female,1,scientific/science,scientific/science,program,0.2116759,1,graduate,25,male,2
169,0,enrollee,18,female,1,scientific/science,scientific/science,program,0.106613524,2,parent,40,female,2
170,0,enrollee,18,female,1,scientific/science,scientific/science,program,0.08338612,3,post-doc,34,male,3
171,1,graduate,25,male,2,scientific/science,scientific/science,center,0.42612118,0,enrollee,18,female,1
172,1,graduate,25,male,2,scientific/science,scientific/science,center,0.50492316,1,graduate,25,male,2
173,1,graduate,25,male,2,scientific/science,scientific/science,center,0.28782207,2,parent,40,female,2
174,1,graduate,25,male,2,scientific/science,scientific/science,center,0.21074067,3,post-doc,34,male,3
175,1,graduate,25,male,2,scientific/science,scientific/science,university,0.34866682,0,enrollee,18,female,1
176,1,graduate,25,male,2,scientific/science,scientific/science,university,0.27590188,1,graduate,25,male,2
177,1,graduate,25,male,2,scientific/science,scientific/science,university,0.24758582,2,parent,40,female,2
178,1,graduate,25,male,2,scientific/science,scientific/science,university,0.26593685,3,post-doc,34,male,3
179,1,graduate,25,male,2,scientific/science,scientific/science,scientific/science,0.558513,0,enrollee,18,female,1
180,1,graduate,25,male,2,scientific/science,scientific/science,scientific/science,0.44955277,2,parent,40,female,2
181,1,graduate,25,male,2,scientific/science,scientific/science,scientific/science,0.4728858,3,post-doc,34,male,3
182,1,graduate,25,male,2,scientific/science,scientific/science,educational/education,0.14709833,0,enrollee,18,female,1
183,1,graduate,25,male,2,scientific/science,scientific/science,educational/education,0.1716052,1,graduate,25,male,2
184,1,graduate,25,male,2,scientific/science,scientific/science,educational/education,0.17286152,2,parent,40,female,2
