,Person_ID,Person_name,Person_age,Person_gender,Person_ducation_level_ID,Assoc_stimulus,Term1,Term2,cos,Person_term_ID,Person_term_name,Person_term_age,Person_term_gender,Person_term_ducation_level_ID
219,3,аспирант,34,male,3,наука/научный,наука/научный,наука/научный,0.73649377,2,родитель,40,female,2
228,0,абитуриентка,18,female,1,образовательный/образование,образовательный/образование,центр,0.72282034,0,абитуриентка,18,female,1
229,0,абитуриентка,18,female,1,образовательный/образование,образовательный/образование,центр,0.8201783,1,магистрант,25,male,2
230,0,абитуриентка,18,female,1,образовательный/образование,образовательный/образование,центр,0.876699,2,родитель,40,female,2
231,0,абитуриентка,18,female,1,образовательный/образование,образовательный/образование,центр,0.71321577,3,аспирант,34,male,3
232,0,абитуриентка,18,female,1,образовательный/образование,образовательный/образование,университет,0.8436624,0,абитуриентка,18,female,1
233,0,абитуриентка,18,female,1,образовательный/образование,образовательный/образование,университет,0.6390861,1,магистрант,25,male,2
234,0,абитуриентка,18,female,1,образовательный/образование,образовательный/образование,университет,0.8123054,2,родитель,40,female,2
235,0,абитуриентка,18,female,1,образовательный/образование,образовательный/образование,университет,0.6753664,3,аспирант,34,male,3
236,0,абитуриентка,18,female,1,образовательный/образование,образовательный/образование,наука/научный,0.70628166,0,абитуриентка,18,female,1
237,0,абитуриентка,18,female,1,образовательный/образование,образовательный/образование,наука/научный,0.7284445,1,магистрант,25,male,2
238,0,абитуриентка,18,female,1,образовательный/образование,образовательный/образование,наука/научный,0.6500739,2,родитель,40,female,2
239,0,абитуриентка,18,female,1,образовательный/образование,образовательный/образование,наука/научный,0.63435346,3,аспирант,34,male,3
247,1,магистрант,25,male,2,образовательный/образование,образовательный/образование,центр,0.65723693,0,абитуриентка,18,female,1
248,1,магистрант,25,male,2,образовательный/образование,образовательный/образование,центр,0.7028979,1,магистрант,25,male,2
249,1,магистрант,25,male,2,образовательный/образование,образовательный/образование,центр,0.84702754,2,родитель,40,female,2
250,1,магистрант,25,male,2,образовательный/образование,образовательный/образование,центр,0.66638386,3,аспирант,34,male,3
251,1,магистрант,25,male,2,образовательный/образование,образовательный/образование,университет,0.8030416,0,абитуриентка,18,female,1
252,1,магистрант,25,male,2,образовательный/образование,образовательный/образование,университет,0.6473377,1,магистрант,25,male,2
253,1,магистрант,25,male,2,образовательный/образование,образовательный/образование,университет,0.7486399,2,родитель,40,female,2
254,1,магистрант,25,male,2,образовательный/образование,образовательный/образование,университет,0.64232004,3,аспирант,34,male,3
255,1,магистрант,25,male,2,образовательный/образование,образовательный/образование,наука/научный,0.7966052,0,абитуриентка,18,female,1
256,1,магистрант,25,male,2,образовательный/образование,образовательный/образование,наука/научный,0.7814147,1,магистрант,25,male,2
257,1,магистрант,25,male,2,образовательный/образование,образовательный/образование,наука/научный,0.6808733,2,родитель,40,female,2
258,1,магистрант,25,male,2,образовательный/образование,образовательный/образование,наука/научный,0.67386866,3,аспирант,34,male,3
259,1,магистрант,25,male,2,образовательный/образование,образовательный/образование,образовательный/образование,0.807011,0,абитуриентка,18,female,1
266,2,родитель,40,female,2,образовательный/образование,образовательный/образование,центр,0.7656641,0,абитуриентка,18,female,1
267,2,родитель,40,female,2,образовательный/образование,образовательный/образование,центр,0.88104665,1,магистрант,25,male,2
268,2,родитель,40,female,2,образовательный/образование,образовательный/образование,центр,0.82870626,2,родитель,40,female,2
269,2,родитель,40,female,2,образовательный/образование,образовательный/образование,центр,0.77463436,3,аспирант,34,male,3
270,2,родитель,40,female,2,образовательный/образование,образовательный/образование,университет,0.8284757,0,абитуриентка,18,female,1
271,2,родитель,40,female,2,образовательный/образование,образовательный/образование,университет,0.6844789,1,магистрант,25,male,2
272,2,родитель,40,female,2,образовательный/образование,образовательный/образование,университет,0.88490045,2,родитель,40,female,2
273,2,родитель,40,female,2,образовательный/образование,образовательный/образование,университет,0.67558944,3,аспирант,34,male,3
274,2,родитель,40,female,2,образовательный/образование,образовательный/образование,наука/научный,0.7129366,0,абитуриентка,18,female,1
275,2,родитель,40,female,2,образовательный/образование,образовательный/образование,наука/научный,0.69027084,1,магистрант,25,male,2
276,2,родитель,40,female,2,образовательный/образование,образовательный/образование,наука/научный,0.69764733,2,родитель,40,female,2
277,2,родитель,40,female,2,образовательный/образование,образовательный/образование,наука/научный,0.6303234,3,аспирант,34,male,3
278,2,родитель,40,female,2,образовательный/образование,образовательный/образование,образовательный/образование,0.9038654,0,абитуриентка,18,female,1
279,2,родитель,40,female,2,образовательный/образование,образовательный/образование,образовательный/образование,0.7579087,1,магистрант,25,male,2
285,3,аспирант,34,male,3,образовательный/образование,образовательный/образование,центр,0.6483603,0,абитуриентка,18,female,1
286,3,аспирант,34,male,3,образовательный/образование,образовательный/образование,центр,0.693876,1,магистрант,25,male,2
287,3,аспирант,34,male,3,образовательный/образование,образовательный/образование,центр,0.7721636,2,родитель,40,female,2
288,3,аспирант,34,male,3,образовательный/образование,образовательный/образование,центр,0.6634921,3,аспирант,34,male,3
289,3,аспирант,34,male,3,образовательный/образование,образовательный/образование,университет,0.7217357,0,абитуриентка,18,female,1
290,3,аспирант,34,male,3,образовательный/образование,образовательный/образование,университет,0.64178145,1,магистрант,25,male,2
291,3,аспирант,34,male,3,образовательный/образование,образовательный/образование,университет,0.7446255,2,родитель,40,female,2
292,3,аспирант,34,male,3,образовательный/образование,образовательный/образование,университет,0.62948036,3,аспирант,34,male,3
293,3,аспирант,34,male,3,образовательный/образование,образовательный/образование,наука/научный,0.78828204,0,абитуриентка,18,female,1
294,3,аспирант,34,male,3,образовательный/образование,образовательный/образование,наука/научный,0.744292,1,магистрант,25,male,2
295,3,аспирант,34,male,3,образовательный/образование,образовательный/образование,наука/научный,0.67506576,2,родитель,40,female,2
296,3,аспирант,34,male,3,образовательный/образование,образовательный/образование,наука/научный,0.705547,3,аспирант,34,male,3
297,3,аспирант,34,male,3,образовательный/образование,образовательный/образование,образовательный/образование,0.73378766,0,абитуриентка,18,female,1
298,3,аспирант,34,male,3,образовательный/образование,образовательный/образование,образовательный/образование,0.94482803,1,магистрант,25,male,2
299,3,аспирант,34,male,3,образовательный/образование,образовательный/образование,образовательный/образование,0.7506901,2,родитель,40,female,2
304,0,абитуриентка,18,female,1,программа,программа,центр,0.69434434,0,абитуриентка,18,female,1
305,0,абитуриентка,18,female,1,программа,программа,центр,0.6806288,1,магистрант,25,male,2
306,0,абитуриентка,18,female,1,программа,программа,центр,0.7475654,2,родитель,40,female,2
307,0,абитуриентка,18,female,1,программа,программа,центр,0.7171996,3,аспирант,34,male,3
308,0,абитуриентка,18,female,1,программа,программа,университет,0.7591496,0,абитуриентка,18,female,1
309,0,абитуриентка,18,female,1,программа,программа,университет,0.6901002,1,магистрант,25,male,2
310,0,абитуриентка,18,female,1,программа,программа,университет,0.71259516,2,родитель,40,female,2
311,0,абитуриентка,18,female,1,программа,программа,университет,0.74304736,3,аспирант,34,male,3
312,0,абитуриентка,18,female,1,программа,программа,наука/научный,0.767107,0,абитуриентка,18,female,1
313,0,абитуриентка,18,female,1,программа,программа,наука/научный,0.81038344,1,магистрант,25,male,2
314,0,абитуриентка,18,female,1,программа,программа,наука/научный,0.7029533,2,родитель,40,female,2
315,0,абитуриентка,18,female,1,программа,программа,наука/научный,0.69647694,3,аспирант,34,male,3
316,0,абитуриентка,18,female,1,программа,программа,образовательный/образование,0.7269038,0,абитуриентка,18,female,1
317,0,абитуриентка,18,female,1,программа,программа,образовательный/образование,0.6847302,1,магистрант,25,male,2
318,0,абитуриентка,18,female,1,программа,программа,образовательный/образование,0.6983863,2,родитель,40,female,2
319,0,абитуриентка,18,female,1,программа,программа,образовательный/образование,0.63079816,3,аспирант,34,male,3
323,1,магистрант,25,male,2,программа,программа,центр,0.74285436,0,абитуриентка,18,female,1
324,1,магистрант,25,male,2,программа,программа,центр,0.68182427,1,магистрант,25,male,2
325,1,магистрант,25,male,2,программа,программа,центр,0.726669,2,родитель,40,female,2
326,1,магистрант,25,male,2,программа,программа,центр,0.7856535,3,аспирант,34,male,3
327,1,магистрант,25,male,2,программа,программа,университет,0.7076318,0,абитуриентка,18,female,1
328,1,магистрант,25,male,2,программа,программа,университет,0.71411467,1,магистрант,25,male,2
329,1,магистрант,25,male,2,программа,программа,университет,0.7065055,2,родитель,40,female,2
330,1,магистрант,25,male,2,программа,программа,университет,0.7661092,3,аспирант,34,male,3
331,1,магистрант,25,male,2,программа,программа,наука/научный,0.7160081,0,абитуриентка,18,female,1
332,1,магистрант,25,male,2,программа,программа,наука/научный,0.6559871,1,магистрант,25,male,2
333,1,магистрант,25,male,2,программа,программа,наука/научный,0.7632903,2,родитель,40,female,2
334,1,магистрант,25,male,2,программа,программа,наука/научный,0.6900747,3,аспирант,34,male,3
335,1,магистрант,25,male,2,программа,программа,образовательный/образование,0.66845614,0,абитуриентка,18,female,1
336,1,магистрант,25,male,2,программа,программа,образовательный/образование,0.67594,1,магистрант,25,male,2
